City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
256,Itarema,BR,2022-09-28 19:01:39,-2.9248,-39.9167,82.47,64,10,19.66
257,Poli,TZ,2022-09-28 19:01:40,-3.3333,36.8,62.06,60,94,9.4
258,Palampur,IN,2022-09-28 19:01:40,32.1167,76.5333,63.9,73,0,4.52
259,Revda,RU,2022-09-28 19:01:41,56.801,59.9303,13.39,97,11,1.88
260,Haines Junction,CA,2022-09-28 19:01:41,60.7522,-137.5108,44.85,68,16,2.1
261,Kavaratti,IN,2022-09-28 19:01:42,10.5669,72.642,81.37,74,54,12.75
262,Rodrigues Alves,BR,2022-09-28 19:01:42,-7.738,-72.6509,91.76,42,100,2.53
263,Tarauaca,BR,2022-09-28 19:01:43,-8.1614,-70.7656,91.17,45,98,4.29
264,Voh,NC,2022-09-28 19:01:46,-20.9667,164.7,71.42,90,100,5.44
265,Wajima,JP,2022-09-28 19:01:47,37.4,136.9,67.93,75,100,2.37
266,Minas,UY,2022-09-28 19:01:47,-34.3759,-55.2377,59.77,44,17,13.85
267,Thai Binh,VN,2022-09-28 19:01:47,20.45,106.3333,75.87,95,100,10.25
268,Araouane,ML,2022-09-28 19:01:48,18.9048,-3.5265,102.63,11,44,3.47
269,Sinnamary,GF,2022-09-28 19:01:48,5.3833,-52.95,84.51,68,91,13.2
270,Asau,RO,2022-09-28 19:01:50,46.4333,26.4,58.28,84,19,4.99
271,Teknaf,BD,2022-09-28 19:01:50,20.8624,92.3058,79.27,86,96,2.51
272,Peleduy,RU,2022-09-28 19:01:51,59.6289,112.7406,27.16,83,100,6.26
273,High Prairie,CA,2022-09-28 19:00:03,55.4334,-116.4858,73.49,32,19,4.09
274,Bellavista,PE,2022-09-28 19:01:51,-7.0561,-76.5911,99.55,27,65,2.8
275,Honningsvag,NO,2022-09-28 19:01:52,70.9821,25.9704,47.95,81,100,10.36
276,Lerwick,GB,2022-09-28 19:01:52,60.1545,-1.1494,48.2,88,100,6.35
277,Port Lincoln,AU,2022-09-28 19:00:32,-34.7333,135.8667,53.17,70,81,9.33
278,Umm Lajj,SA,2022-09-28 19:01:53,25.0213,37.2685,86.83,53,0,4.7
279,Sal Rei,CV,2022-09-28 19:02:53,16.1833,-22.9167,84.4,74,20,13.8
280,Swabi,PK,2022-09-28 19:01:25,34.1199,72.4699,75.0,69,9,5.32
281,Gallup,US,2022-09-28 19:02:54,35.5281,-108.7426,76.01,28,0,1.01
282,Pulau Sebang,MY,2022-09-28 19:02:54,2.455,102.2329,75.49,91,100,4.52
283,San Quintin,MX,2022-09-28 19:02:55,30.4833,-115.95,77.45,68,1,7.87
284,Fonte Boa,BR,2022-09-28 19:02:55,-2.4959,-66.2662,87.85,58,98,2.95
285,Auki,SB,2022-09-28 19:02:56,-8.7676,160.7034,75.04,84,28,5.48
286,Saint-Georges,GD,2022-09-28 19:00:52,12.0564,-61.7485,83.88,68,100,7.54
287,Hilo,US,2022-09-28 19:02:57,19.7297,-155.09,87.28,75,63,1.01
288,Belaya Gora,RU,2022-09-28 19:02:57,68.5333,146.4167,23.47,89,92,6.51
289,Amuntai,ID,2022-09-28 19:02:58,-2.4177,115.2494,74.95,92,100,0.89
290,Taunggyi,MM,2022-09-28 19:02:58,20.7833,97.0333,62.2,91,91,1.95
291,Oskemen,KZ,2022-09-28 19:02:59,49.9565,82.6119,38.39,97,100,7.16
